trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,17,14.336901820472423,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,18,11.3493392215159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,0,11.127511028464781,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,9,9.847652630160056,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,4.353620508240136,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,14,11.448255591635776,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,13,12.854700510012874,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,8,19.081719804699794,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,17,-58.16358591465052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,2,34.08040893542733,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,9,-25.712063735122086,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,10,5.090659759970154,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,3,-60.380501234480924,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,1,-7.220590885579067,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,16,-6.102138014179179,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",30,10,-17.356476761918497,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",30,0,-45.385528263537395,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",30,22,12.090733459917688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,0,11.570536478809073,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,12,-10.395493667313623,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,14,25.500117745405255,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,2,-10.33139454895644,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,8,4.785119162129982,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",25,0,18.07649198445704,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,10,21.64922388901037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,0,-15.802188208766886,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,5,14.039466039765848,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,-31.002700494005907,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,13,13.003889363812526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,12,9.908689124842567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,14,-5.169200469576909,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,0,20.03076147660607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,13,0.0244579571268142,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,8,6.277640628162327,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,11,13.908892812476587,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,19,1.579202898925424,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",30,7,-24.417803076639583,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",30,18,18.346392198416144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,0,25.44165583924518,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,8,8.472368895613885,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,6,1.9036117040477292,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,0,-20.015200809723446,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,-14.425417783914803,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,14,11.940845411359414,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,9,12.95622703436103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,3,27.492394268639313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,10,-5.570960052378837,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,12,0.12182141070179497,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",30,22,15.710331129256177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,14,-0.09577796081307799,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,7,14.480452656764218,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,11,18.44205366477788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",35,0,16.382938502889008,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
